Job Title,Job Description,link,price,combined
Web-scraping,I need a quick turnaround on a web scraping task. It is a single website to be inputted in an Excel spreadsheet that I will provide. I can do a quick call to explain.,https://www.peopleperhour.com/freelance-jobs/marketing-branding-sales/strategy-research/web-scraping-4384696,$232,web-scraping i need a quick turnaround on a web scraping task. it is a single website to be inputted in an excel spreadsheet that i will provide. i can do a quick call to explain.
Web Scraping for Business Data from Companies House,"We are seeking a skilled freelancer to scrape the Companies House website (https://www.gov.uk/get-information-about-a-company) for specific businesses based on sector, location, and revenue size. Further data enrichment will be necessary. Deliverables: - Comprehensive list of targeted companies filtered by specified sector, location, and revenue size criteria - Email addresses for each identified company (through data enrichment processes) - Postal addresses for each identified company - Director contact details for each company (names, positions, and available contact information) - Accurate and structured data delivered in a timely manner The ideal candidate should have experience in web scraping and data extraction, and be able to deliver accurate and structured data in a timely manner.",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/web-scraping-for-business-data-from-companies-house-4389742,$681,"web scraping for business data from companies house we are seeking a skilled freelancer to scrape the companies house website (https://www.gov.uk/get-information-about-a-company) for specific businesses based on sector, location, and revenue size. further data enrichment will be necessary. deliverables: - comprehensive list of targeted companies filtered by specified sector, location, and revenue size criteria - email addresses for each identified company (through data enrichment processes) - postal addresses for each identified company - director contact details for each company (names, positions, and available contact information) - accurate and structured data delivered in a timely manner the ideal candidate should have experience in web scraping and data extraction, and be able to deliver accurate and structured data in a timely manner."
"Web App, Database, Web Scraping, WhatsApp Business integration","Job Aggregator Project Draft Requirements Specification Date: 09 June 2025 Version: 3.0 Introduction The Client is a provider of recruitment services, specialising in provision of temporary workers to end-clients in the UK and US. Request for Proposal The Client wishes to automate several existing manual processes: • Receive job order information from various private job listing websites automatically (Web Scraping) • Aggregate and display job orders from multiple sources in an internal tool (Web App) • Send real-time notification of new job orders by to internal employees (MS Teams & WhatsApp for Business API) A proposal for development of an application to automate these processes is requested. Requirements Summary 1. Web Scraping a. Implement a head-less web scraper to scrape, or otherwise receive, a list of job orders from 15 private job listing websites according to a schedule b. Manage stored user credentials for each of these websites c. Parse the job order information into a database 2. Database a. Design and create a database to store the data of each job order 3. Web Application a. Create a desktop and mobile ready web app to display the job orders from multiple suppliers in a single pane of glass b. Display job orders in a tabular ('spreadsheet like') interface c. Permit sorting & filtering d. Link applied sort & filter to user sign-on and save per logged in user 4. Real-time notification a. Push notification of job alerts to internal employees by MS Teams & WhatsApp when new job orders are received b. Pushed job order notifications filtered per user 5. Single Sign-On a. Microsoft 365 Sign-Ons integrated into internal M365 tenant and Web App linked from internal SharePoint intranet site.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/web-app-database-web-scraping-whatsapp-business-integrati-4388427,$41/hr,"web app, database, web scraping, whatsapp business integration job aggregator project draft requirements specification date: 09 june 2025 version: 3.0 introduction the client is a provider of recruitment services, specialising in provision of temporary workers to end-clients in the uk and us. request for proposal the client wishes to automate several existing manual processes: • receive job order information from various private job listing websites automatically (web scraping) • aggregate and display job orders from multiple sources in an internal tool (web app) • send real-time notification of new job orders by to internal employees (ms teams & whatsapp for business api) a proposal for development of an application to automate these processes is requested. requirements summary 1. web scraping a. implement a head-less web scraper to scrape, or otherwise receive, a list of job orders from 15 private job listing websites according to a schedule b. manage stored user credentials for each of these websites c. parse the job order information into a database 2. database a. design and create a database to store the data of each job order 3. web application a. create a desktop and mobile ready web app to display the job orders from multiple suppliers in a single pane of glass b. display job orders in a tabular ('spreadsheet like') interface c. permit sorting & filtering d. link applied sort & filter to user sign-on and save per logged in user 4. real-time notification a. push notification of job alerts to internal employees by ms teams & whatsapp when new job orders are received b. pushed job order notifications filtered per user 5. single sign-on a. microsoft 365 sign-ons integrated into internal m365 tenant and web app linked from internal sharepoint intranet site."
Web scraping tool,"I am seeking development of an automated web data extraction application. The tool should programmatically access specific websites, gather contact email addresses embedded within pages, and compile the addresses into a single downloadable file. Rather than manual browsing and copying, the application will retrieve email addresses directly from backend code through simulation of usual page loading. It should seamlessly navigate sites, interpret HTML/JavaScript to find contact strings in a specified format, and organize the yields into a clean spreadsheet format. User-interface for configuration and output should be intuitive and minimal. Primary objectives include contact harvesting from numerous pages in an expedited unobtrusive manner and segmentation of the compiled addresses for simplified import into email marketing services. Experience with web scraping libraries such as Selenium, BeautifulSoup or Scrapy would be beneficial. Proficiency in Python is required for this project.",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/web-scraping-tool-4382888,$449,"web scraping tool i am seeking development of an automated web data extraction application. the tool should programmatically access specific websites, gather contact email addresses embedded within pages, and compile the addresses into a single downloadable file. rather than manual browsing and copying, the application will retrieve email addresses directly from backend code through simulation of usual page loading. it should seamlessly navigate sites, interpret html/javascript to find contact strings in a specified format, and organize the yields into a clean spreadsheet format. user-interface for configuration and output should be intuitive and minimal. primary objectives include contact harvesting from numerous pages in an expedited unobtrusive manner and segmentation of the compiled addresses for simplified import into email marketing services. experience with web scraping libraries such as selenium, beautifulsoup or scrapy would be beneficial. proficiency in python is required for this project."
Cold calling and Lead Scraping,Okay so I have a lead gen agency. We are looking for Cold callers and Data Scrapers in India. Would love to work with you. If you are interested we will have a small meeting about it and you can join next month!...Just Email us,https://www.peopleperhour.com/freelance-jobs/marketing-branding-sales/sales-calls/cold-calling-and-lead-scraping-4393841,$$,cold calling and lead scraping okay so i have a lead gen agency. we are looking for cold callers and data scrapers in india. would love to work with you. if you are interested we will have a small meeting about it and you can join next month!...just email us
Fix PHP Puphpeteer Scraper,"I have a PHP script using Puphpeteer to scrape pricing data from dynamic web pages and store the results in a MySQL database. It used to run fine on a cPanel environment, but since moving to a new hosting setup, it’s no longer working properly. The script connects to Browserless.io, opens a page, waits for JavaScript-rendered content (typically a grid of offers), extracts brand names and prices, and updates a table in MySQL. It handles both multiple prices and conditions to get from a page.",https://www.peopleperhour.com/freelance-jobs/technology-programming/programming-coding/fix-php-puphpeteer-scraper-4391886,$34/hr,"fix php puphpeteer scraper i have a php script using puphpeteer to scrape pricing data from dynamic web pages and store the results in a mysql database. it used to run fine on a cpanel environment, but since moving to a new hosting setup, it’s no longer working properly. the script connects to browserless.io, opens a page, waits for javascript-rendered content (typically a grid of offers), extracts brand names and prices, and updates a table in mysql. it handles both multiple prices and conditions to get from a page."
Expert Data Scraper Wanted,"We are looking for a highly skilled web scraping expert to extract structured business data from UK business directories, company websites, and Facebook business pages. Key Requirements: ✅ Expert in scraping business directories & dynamic websites ✅ 100% accurate data — NO DUPLICATES ✅ FAST turnaround ✅ Ability to handle large volumes of data ✅ UK-based business data ONLY ✅ Automated scraping (scripts / tools) required — no manual copy/paste ✅ Final delivery: CSV / Excel / Google Sheets Data Fields Required (for each business): Business Name Address Postcode Phone Number (Landline) Mobile Number (if available) If mobile number is not present in the directory, your script must visit the business website and attempt to extract the mobile number. Website URL Email (if available) Business Description (if available) If not present in the directory, your script must attempt to extract this from the business website. Category Bonus / Extra Opportunity:",https://www.peopleperhour.com/freelance-jobs/technology-programming/data-science-analysis/expert-data-scraper-wanted-4390383,$1K,"expert data scraper wanted we are looking for a highly skilled web scraping expert to extract structured business data from uk business directories, company websites, and facebook business pages. key requirements: ✅ expert in scraping business directories & dynamic websites ✅ 100% accurate data — no duplicates ✅ fast turnaround ✅ ability to handle large volumes of data ✅ uk-based business data only ✅ automated scraping (scripts / tools) required — no manual copy/paste ✅ final delivery: csv / excel / google sheets data fields required (for each business): business name address postcode phone number (landline) mobile number (if available) if mobile number is not present in the directory, your script must visit the business website and attempt to extract the mobile number. website url email (if available) business description (if available) if not present in the directory, your script must attempt to extract this from the business website. category bonus / extra opportunity:"
Data scraping from list of websites,"Need email address data pulling from these sites please: England Squash: https://www.englandsquash.com/find-a-club LTA (Tennis): https://clubspark.lta.org.uk/ RFU (Rugby): https://www.englandrugby.com/find-rugby FA Grassroots Football: https://www.englandfootball.com/play/adult-football Martial Arts (Mixed): Check governing bodies like British Judo, Karate Union of Great Britain ECB Cricket: https://www.ecb.co.uk/play/find-a-club https://www.openactive.io/data-catalogue/",https://www.peopleperhour.com/freelance-jobs/technology-programming/databases/data-scraping-from-list-of-websites-4390312,$136,"data scraping from list of websites need email address data pulling from these sites please: england squash: https://www.englandsquash.com/find-a-club lta (tennis): https://clubspark.lta.org.uk/ rfu (rugby): https://www.englandrugby.com/find-rugby fa grassroots football: https://www.englandfootball.com/play/adult-football martial arts (mixed): check governing bodies like british judo, karate union of great britain ecb cricket: https://www.ecb.co.uk/play/find-a-club https://www.openactive.io/data-catalogue/"
Develop Web Customer Portal,"We seek a skilled developer to design and build a customer portal for viewing and accessing product price lists. Our enterprise resource planning system currently houses pricing data for multiple categories containing hundreds of individual items. Each of our clients may have access to differing assortments spread across various classifications. The portal must provide a branded interface for clients to view their customized pricing packages in an organized manner. It is imperative that the developed solution integrates seamlessly with our existing ERP infrastructure to retrieve up-to-date listings. Additionally, clients must have the ability to download full catalogs in CSV format for ease of importing costs into their own systems. Security and authentication will be paramount to restrict access solely to entitled accounts. The chosen developer will be expected to implement responsive design principles to ensure cross-browser compatibility and optimize the user experience across different devices. Proficiency with modern web technologies and backend programming is essential. The completed portal should yield an intuitive customer-centric solution meeting both current demands and capacity for future enhancement.",https://www.peopleperhour.com/freelance-jobs/technology-programming/erp-crm-development/develop-web-customer-portal-4392712,$13.6K,"develop web customer portal we seek a skilled developer to design and build a customer portal for viewing and accessing product price lists. our enterprise resource planning system currently houses pricing data for multiple categories containing hundreds of individual items. each of our clients may have access to differing assortments spread across various classifications. the portal must provide a branded interface for clients to view their customized pricing packages in an organized manner. it is imperative that the developed solution integrates seamlessly with our existing erp infrastructure to retrieve up-to-date listings. additionally, clients must have the ability to download full catalogs in csv format for ease of importing costs into their own systems. security and authentication will be paramount to restrict access solely to entitled accounts. the chosen developer will be expected to implement responsive design principles to ensure cross-browser compatibility and optimize the user experience across different devices. proficiency with modern web technologies and backend programming is essential. the completed portal should yield an intuitive customer-centric solution meeting both current demands and capacity for future enhancement."
full-stack web developer,"I’m looking for a skilled full-stack web developer who can build a complete website from scratch – both frontend and backend.I already have most of the design prepared in Canva, which I can share with you. It might not be directly usable for coding, but it provides a clear visual direction. **Core Requirements:** * Fully custom-built website (no templates, no WordPress). * Responsive design that works perfectly on desktop, tablet, and mobile. * Clean, modern, and fast-loading frontend. * Admin panel with full control over users and content. * User registration and login (via email and/or phone). * Paid posting system with credit or wallet functionality. * Listing system with filters (by location, category, etc.). * Contact options via direct message or contact form. * Strong focus on security and privacy. * SEO-friendly structure. * Multilingual support (starting with one language, but should be expandable). **Preferred Tech Stack (flexible):** * Frontend: HTML, CSS, JavaScript (or modern frameworks like React/Vue) * Backend: Node.js / PHP / Python / Laravel (or other full-stack solution) * Database: MySQL / PostgreSQL / MongoDB * Payment gateway integration (e.g., Stripe, crypto, or API-ready solution) If you're using a framework or CMS, please explain how it still allows full customization. **I Will Provide:** * Design mockups from Canva. * Reference websites with similar functionality and structure. * A clear feature list and flowchart. **You Must Have:** * Proven experience with full-stack development (portfolio required). * Strong communication skills. * Ability to deliver high-quality code on time. * Experience building classified/listing platforms is a big plus. * You must be comfortable building everything from scratch – not just frontend. ➕ **Bonus If You Can Also:** * Help with basic SEO structure. * Suggest hosting and deployment setup. * Handle testing and debugging across devices.",https://www.peopleperhour.com/freelance-jobs/technology-programming/website-development/full-stack-web-developer-4390143,$41/hr,"full-stack web developer i’m looking for a skilled full-stack web developer who can build a complete website from scratch – both frontend and backend.i already have most of the design prepared in canva, which i can share with you. it might not be directly usable for coding, but it provides a clear visual direction. **core requirements:** * fully custom-built website (no templates, no wordpress). * responsive design that works perfectly on desktop, tablet, and mobile. * clean, modern, and fast-loading frontend. * admin panel with full control over users and content. * user registration and login (via email and/or phone). * paid posting system with credit or wallet functionality. * listing system with filters (by location, category, etc.). * contact options via direct message or contact form. * strong focus on security and privacy. * seo-friendly structure. * multilingual support (starting with one language, but should be expandable). **preferred tech stack (flexible):** * frontend: html, css, javascript (or modern frameworks like react/vue) * backend: node.js / php / python / laravel (or other full-stack solution) * database: mysql / postgresql / mongodb * payment gateway integration (e.g., stripe, crypto, or api-ready solution) if you're using a framework or cms, please explain how it still allows full customization. **i will provide:** * design mockups from canva. * reference websites with similar functionality and structure. * a clear feature list and flowchart. **you must have:** * proven experience with full-stack development (portfolio required). * strong communication skills. * ability to deliver high-quality code on time. * experience building classified/listing platforms is a big plus. * you must be comfortable building everything from scratch – not just frontend. ➕ **bonus if you can also:** * help with basic seo structure. * suggest hosting and deployment setup. * handle testing and debugging across devices."
